epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49027,1.42439,1.77226,1.0408,0.00314,0.84211,0.00659,0.00294,1.96917,3.67015,1.24957,4e-05,4e-05,4e-05
2,4.78295,1.49597,1.75415,1.08105,0.00314,0.84211,0.03025,0.01928,1.97299,3.50897,1.24715,9.9835e-05,9.9835e-05,9.9835e-05
3,6.37964,1.55318,1.96634,1.071,0.00314,0.84211,0.03536,0.02593,1.91357,3.51671,1.21049,0.000159472,0.000159472,0.000159472
4,8.20434,1.51483,1.93462,1.09044,0.00314,0.84211,0.19269,0.10017,1.90279,3.34699,1.17567,0.000218911,0.000218911,0.000218911
5,9.91422,1.47448,1.6705,1.04196,0.35963,0.63158,0.45179,0.21973,1.87639,3.01854,1.18126,0.000278152,0.000278152,0.000278152
6,11.629,1.47097,1.57156,1.06178,0.77518,0.63158,0.59867,0.31102,1.82802,2.95727,1.14877,0.000337195,0.000337195,0.000337195
7,13.9186,1.51137,1.69454,1.06494,0.00636,0.78947,0.59787,0.31787,1.80374,2.95487,1.18285,0.00039604,0.00039604,0.00039604
8,16.1584,1.43935,1.60863,1.00405,0.00294,0.78947,0.61331,0.30638,1.91541,2.9382,1.21144,0.000454687,0.000454687,0.000454687
9,17.658,1.41291,1.49705,1.03092,0.00275,0.73684,0.53181,0.28785,1.74769,3.00816,1.13477,0.000513136,0.000513136,0.000513136
10,19.3376,1.4632,1.59259,1.02517,0.00275,0.73684,0.42771,0.25451,1.75475,3.02663,1.13772,0.000571387,0.000571387,0.000571387
11,20.7963,1.44339,1.64977,1.02867,0.00255,0.68421,0.38705,0.20052,1.69383,2.96862,1.108,0.00062944,0.00062944,0.00062944
12,22.4611,1.48729,1.47878,1.09214,0.00363,0.73684,0.07245,0.03456,1.7871,3.02801,1.15261,0.000687295,0.000687295,0.000687295
13,23.9484,1.56263,1.56656,1.07486,0.00255,0.68421,0.05628,0.03197,1.77353,2.96208,1.11812,0.000744952,0.000744952,0.000744952
14,25.7788,1.46869,1.51547,1.04877,0.10661,0.05263,0.16493,0.09965,1.82736,2.79844,1.16901,0.000802411,0.000802411,0.000802411
15,27.9351,1.50999,1.44449,1.03166,0.02385,0.05263,0.05289,0.0272,1.95995,2.95427,1.18915,0.000859672,0.000859672,0.000859672
16,30.5946,1.55567,1.52201,1.04932,1,0.1005,0.52734,0.29132,1.856,2.68274,1.1531,0.000916735,0.000916735,0.000916735
17,32.6936,1.52501,1.45267,1.05737,0.5244,0.15789,0.31584,0.15722,1.70509,2.89748,1.11774,0.0009736,0.0009736,0.0009736
18,34.3085,1.4152,1.37808,1.04251,0.22063,0.34314,0.1716,0.07428,1.94236,2.46453,1.20568,0.00103027,0.00103027,0.00103027
19,35.8892,1.34562,1.62186,1.03887,0.66501,0.36842,0.54001,0.20608,1.95221,2.24259,1.2069,0.00108674,0.00108674,0.00108674
20,37.3556,1.37803,1.34434,0.99484,1,0.28894,0.7328,0.31542,1.89415,2.37706,1.16542,0.00114301,0.00114301,0.00114301
21,38.8398,1.36605,1.29349,0.98169,1,0.3153,0.68616,0.31572,1.88875,2.29893,1.16555,0.00119908,0.00119908,0.00119908
22,40.9082,1.34743,1.26542,0.99397,0.71653,0.13675,0.53566,0.26187,1.83849,2.54592,1.16503,0.00125495,0.00125495,0.00125495
23,43.0393,1.49302,1.28143,1.05617,0.00295,0.78947,0.26041,0.12736,1.79595,2.97398,1.14259,0.00131063,0.00131063,0.00131063
24,45.3337,1.29372,1.15728,0.97304,0.00326,0.78947,0.08887,0.05251,1.66016,2.99346,1.10137,0.00136611,0.00136611,0.00136611
25,46.906,1.39024,1.37451,0.99102,0.52543,0.26316,0.41378,0.23295,1.72407,2.89467,1.13747,0.00142139,0.00142139,0.00142139
26,48.4622,1.41324,1.33941,1.03839,0.88357,0.4009,0.613,0.26404,1.78916,2.4132,1.20686,0.00147647,0.00147647,0.00147647
27,49.9082,1.42288,1.29632,1.06052,0.88788,0.52632,0.54193,0.26732,1.78639,2.10348,1.18534,0.00153136,0.00153136,0.00153136
28,51.4443,1.37362,1.17641,1.02939,0.78236,0.52632,0.61401,0.30446,1.85369,1.7381,1.21091,0.00158605,0.00158605,0.00158605
29,52.8842,1.31946,1.19474,0.98809,0.89495,0.63158,0.70739,0.33771,1.84435,1.89718,1.21397,0.00164054,0.00164054,0.00164054
